City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Nioro,GM,2022-08-07 02:55:54,13.35,-15.75,75.25,96,100,3.56
200,Sassandra,CI,2022-08-07 02:55:55,4.95,-6.0833,71.56,81,50,5.46
201,Lorengau,PG,2022-08-07 02:55:55,-2.0226,147.2712,84.38,69,88,7.11
202,Olinda,BR,2022-08-07 02:55:55,-8.0089,-34.8553,76.73,83,40,10.36
203,Wanning,CN,2022-08-07 02:55:56,18.8003,110.3967,85.69,74,100,5.82
204,Pevek,RU,2022-08-07 02:55:56,69.7008,170.3133,31.05,93,100,14.83
205,Rio Pomba,BR,2022-08-07 02:55:56,-21.2747,-43.1792,62.74,94,85,0.96
206,Hirado,JP,2022-08-07 02:55:57,33.3597,129.5531,87.39,79,22,9.98
207,Brigantine,US,2022-08-07 02:55:57,39.4101,-74.3646,78.15,88,97,14.12
208,Smithers,CA,2022-08-07 02:55:57,54.7804,-127.1743,68.32,60,75,4.61
209,Valparaiso,CL,2022-08-07 02:51:46,-33.0393,-71.6273,53.47,100,100,3.44
210,Campbell River,CA,2022-08-07 02:55:58,50.0163,-125.2446,82.78,34,20,8.05
211,Maceio,BR,2022-08-07 02:55:58,-9.6658,-35.7353,72.84,88,20,3.44
212,Tomar,PT,2022-08-07 02:55:58,39.602,-8.4092,66.33,96,1,0.4
213,Nantucket,US,2022-08-07 02:55:10,41.2835,-70.0995,78.91,94,0,19.04
214,Kaitangata,NZ,2022-08-07 02:55:59,-46.2817,169.8464,37.31,95,100,5.41
215,Hithadhoo,MV,2022-08-07 02:55:59,-0.6,73.0833,82.49,71,100,11.52
216,Paamiut,GL,2022-08-07 02:56:00,61.994,-49.6678,41.09,94,28,13.6
217,Vodnyy,RU,2022-08-07 02:56:00,63.5046,53.4095,70.47,61,0,5.77
218,Gambela,ET,2022-08-07 02:56:00,8.25,34.5833,67.17,97,79,2.73
219,Saint Anthony,US,2022-08-07 02:56:01,45.0205,-93.218,71.65,92,100,5.75
220,Bin Qirdan,TN,2022-08-07 02:56:01,33.1378,11.2197,81.3,66,0,7.14
